# epoch, loss:  0 1.0432189658836082
A checkpoint is saved at # epoch!  0
# epoch, loss:  1 0.9978888498412238
A checkpoint is saved at # epoch!  1
# epoch, loss:  2 0.9807395316936351
A checkpoint is saved at # epoch!  2
# epoch, loss:  3 0.890034141363921
A checkpoint is saved at # epoch!  3
# epoch, loss:  4 0.7673270503679911
A checkpoint is saved at # epoch!  4
# epoch, loss:  5 0.6638060145907931
A checkpoint is saved at # epoch!  5
# epoch, loss:  6 0.5849333957389549
A checkpoint is saved at # epoch!  6
# epoch, loss:  7 0.507172754517308
A checkpoint is saved at # epoch!  7
# epoch, loss:  8 0.44793590792903193
A checkpoint is saved at # epoch!  8
# epoch, loss:  9 0.3901681900024414
A checkpoint is saved at # epoch!  9
# epoch, loss:  10 0.3380724975356349
A checkpoint is saved at # epoch!  10
# epoch, loss:  11 0.29332312168898406
A checkpoint is saved at # epoch!  11
# epoch, loss:  12 0.26585396848343035
A checkpoint is saved at # epoch!  12
# epoch, loss:  13 0.23294022624139432
A checkpoint is saved at # epoch!  13
# epoch, loss:  14 0.20566739362699013
A checkpoint is saved at # epoch!  14
# epoch, loss:  15 0.1829349751825686
A checkpoint is saved at # epoch!  15
# epoch, loss:  16 0.1682096940499765
A checkpoint is saved at # epoch!  16
# epoch, loss:  17 0.1551314702740422
A checkpoint is saved at # epoch!  17
# epoch, loss:  18 0.13517673313617706
A checkpoint is saved at # epoch!  18
# epoch, loss:  19 0.12660194050382684
A checkpoint is saved at # epoch!  19
# epoch, loss:  20 0.11787980491364444
A checkpoint is saved at # epoch!  20
# epoch, loss:  21 0.1078742543856303
A checkpoint is saved at # epoch!  21
# epoch, loss:  22 0.10191269080947947
A checkpoint is saved at # epoch!  22
# epoch, loss:  23 0.09828342083427641
A checkpoint is saved at # epoch!  23
# epoch, loss:  24 0.09198954177123529
A checkpoint is saved at # epoch!  24
# epoch, loss:  25 0.08622958524911492
A checkpoint is saved at # epoch!  25
# epoch, loss:  26 0.08467378439726653
A checkpoint is saved at # epoch!  26
# epoch, loss:  27 0.07924824773713394
A checkpoint is saved at # epoch!  27
# epoch, loss:  28 0.08246076024240917
# epoch, loss:  29 0.0721892290921123
A checkpoint is saved at # epoch!  29
# epoch, loss:  30 0.07456877179167888
# epoch, loss:  31 0.0754918730645268
# epoch, loss:  32 0.07029604373706712
A checkpoint is saved at # epoch!  32
# epoch, loss:  33 0.06253491714596748
A checkpoint is saved at # epoch!  33
# epoch, loss:  34 0.06110254633757803
A checkpoint is saved at # epoch!  34
# epoch, loss:  35 0.060027739929932135
A checkpoint is saved at # epoch!  35
# epoch, loss:  36 0.06048533554982256
# epoch, loss:  37 0.06394540270169576
# epoch, loss:  38 0.05626422967071886
A checkpoint is saved at # epoch!  38
# epoch, loss:  39 0.05586842199166616
A checkpoint is saved at # epoch!  39
# epoch, loss:  40 0.05241726449242345
A checkpoint is saved at # epoch!  40
# epoch, loss:  41 0.05165799679579558
A checkpoint is saved at # epoch!  41
# epoch, loss:  42 0.04809145739784947
A checkpoint is saved at # epoch!  42
# epoch, loss:  43 0.04863358220016515
# epoch, loss:  44 0.05037720418638653
# epoch, loss:  45 0.05101233789766276
# epoch, loss:  46 0.05244704156562134
# epoch, loss:  47 0.04743905324074957
A checkpoint is saved at # epoch!  47
# epoch, loss:  48 0.04907538755624383
# epoch, loss:  49 0.04579167951036383
A checkpoint is saved at # epoch!  49
# epoch, loss:  50 0.045559763770412515
A checkpoint is saved at # epoch!  50
# epoch, loss:  51 0.043278214142278386
A checkpoint is saved at # epoch!  51
# epoch, loss:  52 0.04462103180035397
# epoch, loss:  53 0.041566479468235266
A checkpoint is saved at # epoch!  53
# epoch, loss:  54 0.04789978658987416
# epoch, loss:  55 0.04289180109346354
# epoch, loss:  56 0.041575236866871514
